Metric,r2 training,r2 testing,rmse training,rmse testing,mae training,mae testing
linear regression,0.25188923154536325,0.18392712047217696,13.629523340306752,13.418724059469113,11.017724304988171,10.95633094586576
random forest regression,0.99217391216381,0.8178393391929699,1.3940234312263486,6.339777936898852,0.6648414007425286,3.49109544551429
