column_name,mean,std,min,max,missing_count
Air Temperature,12.599577860304215,10.44495323944938,-29.78,37.6,75
Wet Bulb Temperature,10.256623607204785,9.411280841712403,-28.9,28.4,76114
Humidity,68.02254316153474,15.626054459432389,0.0,100.0,0
Rain Intensity,0.1588288490097983,1.7928617835544687,0.0,183.6,76114
Interval Rain,0.14223402578250147,1.096058791926416,-0.9,63.42,0
Total Rain,141.37789780222514,190.35060909622786,0.0,1056.1,76114
Precipitation Type,4.274128647401914,15.601479164579265,0.0,70.0,76114
Wind Direction,140.74615677998423,122.04476033944037,0.0,359.0,0
Wind Speed,2.918740878232348,5.337565731912076,0.0,999.9,0
Maximum Wind Speed,3.5548633324010277,5.9514072019470765,0.0,999.9,0
Barometric Pressure,994.3115186336826,10.028865896531878,0.0,3098.5,146
Solar Radiation,112.22965750464034,842.1073156399236,-100000.0,1277.0,0
Heading,282.06977458081326,142.70108366726683,0.0,359.0,76114
Battery Life,13.163832286607846,1.5446940333222945,0.0,15.3,0
